inspection_ref,violation_number,violation_text
108289,1,Certified Food Protection Manager certificate issued by the DC Department of Health is not conspicuously posted in the establishment next to the establishment's business license.(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
108289,36,Missing ceiling tiles observed throughout.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108289,62,Establishment has no license.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108289,62,Inspection report not posted.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108259,None,None
108245,1,No Certified Food Protection Manager is on duty.(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
108245,13,Raw chicken stored over pasta. (Corrected On Site)
108245,36,Rodent droppings observed in storage area.(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
108245,36,Extermination contract not available.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108245,47,Handwash sink at bar has dirt and mold build up.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108245,52,Trash contract not available.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108245,53,Old or unused equipment stored in the establishment.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108245,53,Missing ceiling tiles in kitchen area.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108245,62,Inspection report not posted.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
108245,62,No license on site.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
96186,1,NO CERTIFIED FOOD SUPERVISOR ON DUTY(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
96186,34,NO THERMOMETERS IN REACH IN UNITS (Corrected On Site)
96186,39,MULTI PURPSE USE OF WIPING CLOTHS (Corrected On Site)
96186,47,DIRTY NON FOOD CONTACT SURFACES. GREASY EQUIPMENT (Corrected On Site)
136175,14,Unclean food-contact surfaces(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
136175,20,Cold food item(s) held at improper temperature(s).(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
136175,31,Door on reach in unit where food is kept does not close tight.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
136175,34,No thermometer in reach-in refrigerator.(CORRECT VIOLATION WITHIN 45 CALENDAR DAYS)
136175,36,Evidence of mice dropping seen on shelving.(CORRECT VIOLATION WITHIN 5 CALENDAR DAYS)
